date,confirmed,hospitalized,icu,vent,deceased
2020-02-25,0,0,0,0,0
2020-02-26,2,1,0,0,0
2020-02-27,4,2,0,0,0
2020-02-28,7,12,0,0,0
2020-02-29,10,14,0,0,0
2020-03-01,6,15,0,0,0
2020-03-02,11,21,0,0,0
2020-03-03,19,26,0,0,0
2020-03-04,24,34,1,0,0
2020-03-05,42,38,1,0,0
2020-03-06,72,46,4,0,1
2020-03-07,60,47,6,0,0
2020-03-08,46,60,6,1,1
2020-03-09,93,73,13,2,0
2020-03-10,146,101,14,2,2
2020-03-11,224,122,17,5,1
2020-03-12,306,146,18,5,4
2020-03-13,326,173,20,6,1
2020-03-14,397,275,36,6,4
2020-03-15,277,314,43,9,8
2020-03-16,792,407,56,10,9
2020-03-17,846,499,75,19,7
2020-03-18,1084,588,84,47,9
2020-03-19,987,715,95,70,9
2020-03-20,1224,818,101,77,23
2020-03-21,681,944,114,92,20
2020-03-22,531,1090,146,110,15
2020-03-23,1510,1206,174,128,30
2020-03-24,1104,1363,176,135,22
2020-03-25,1139,1462,208,157,35
2020-03-26,1084,1608,230,172,45
2020-03-27,1302,1788,251,176,37
2020-03-28,839,1875,277,206,52
2020-03-29,603,1989,287,211,45
2020-03-30,1122,2174,333,246,61
2020-03-31,922,2202,355,256,65
2020-04-01,1066,2281,381,282,63
2020-04-02,1089,2345,387,279,61
2020-04-03,968,2327,393,284,61
2020-04-04,570,2315,393,280,66
2020-04-05,402,2300,383,269,53
2020-04-06,741,2302,383,271,60
2020-04-07,657,2219,375,266,61
2020-04-08,668,2129,376,261,67
2020-04-09,664,2062,370,258,51
2020-04-10,451,2002,364,246,51
2020-04-11,463,1927,364,237,38
2020-04-12,272,1904,354,229,56
2020-04-13,243,1887,349,223,31
2020-04-14,325,1847,334,219,38
2020-04-15,316,1721,313,204,54
2020-04-16,301,1664,292,192,48
2020-04-17,307,1566,286,178,48
2020-04-18,274,1513,273,174,42
2020-04-19,176,1505,265,169,25
2020-04-20,201,1481,251,158,43
2020-04-21,166,1402,238,152,41
2020-04-22,206,1337,204,145,28
2020-04-23,219,1282,196,139,30
2020-04-24,189,1237,194,136,29
2020-04-25,143,1208,188,130,24
2020-04-26,76,1186,178,110,17
2020-04-27,169,1162,174,108,22
2020-04-28,127,1132,160,91,26
2020-04-29,141,1063,165,91,8
2020-04-30,145,984,150,86,18
2020-05-01,110,928,139,77,14
2020-05-02,80,879,135,72,14
2020-05-03,60,877,134,70,8
2020-05-04,60,852,124,64,6
2020-05-05,59,822,118,57,12
2020-05-06,83,793,114,50,6
2020-05-07,69,742,108,50,8
2020-05-08,66,695,95,42,9
2020-05-09,48,664,92,39,10
2020-05-10,31,653,86,38,7
